,Sample Date,Address,1st Draw,2/3 Min,5 Min
269,2016-05-05 00:00:00,8800 S DORCHESTER AVE,2.44,5.35,1.0
270,2016-05-06 00:00:00,8000 S CONSTANCE AVE,2.25,1.0,1.0
271,2016-05-06 00:00:00,9900 S AVENUE H,3.81,3.49,2.69
272,2016-05-06 00:00:00,5400 S RIDGEWOOD CT,6.54,1.94,1.57
273,2016-05-06 00:00:00,9100 S UNION AVE,4.28,1.68,1.23
274,2016-05-06 00:00:00,6100 W ROSCOE ST,1.77,1.0,1.0
275,2016-05-07 00:00:00,1500 W 73RD ST,1.15,1.0,1.0
276,2016-05-07 00:00:00,2900 S LOOMIS ST,2.95,6.78,2.12
277,2016-05-07 00:00:00,500 W 37TH ST,3.77,4.1,1.82
278,2016-05-10 00:00:00,00 E 89TH PL,1.0,1.0,1.0
279,2016-05-10 00:00:00,4700 N AVERS AVE,1.64,1.18,1.11
280,2016-05-11 00:00:00,2000 W CULLOM AVE,1.0,1.0,1.0
281,2016-05-13 00:00:00,12300 S EMERALD ST,1.0,1.0,1.0
282,2016-05-14 00:00:00,7300 S MERRILL AVE,14.0,1.0,1.0
283,2016-05-14 00:00:00,7800 S PAULINA ST,1.0,1.0,1.0
284,2016-05-14 00:00:00,900 E 84TH PL,1.47,1.24,1.0
285,2016-05-15 00:00:00,2200 E 99TH ST,1.0,1.0,1.0
286,2016-05-15 00:00:00,7600 W CATALPA AVE,2.2,1.2,1.1
287,2016-05-15 00:00:00,1500 N STATE PKWY,1.0,1.0,1.0
288,2016-05-15 00:00:00,7100 S HOYNE AVE,5.1,4.2,3.9
289,2016-05-15 00:00:00,10600 S EDBROOKE AVE,1.2,1.0,1.0
290,2016-05-16 00:00:00,8300 S DANTE AVE,1.0,1.0,1.0
291,2016-05-16 00:00:00,5900 N KENMORE AVE,1.0,1.0,1.0
292,2016-05-16 00:00:00,4700 W WAVELAND AVE,1.7,1.6,1.4
293,2016-05-16 00:00:00,4500 N MOBILE AVE,2.2,1.6,1.3
294,2016-05-16 00:00:00,6000 N WINCHESTER AVE,1.0,1.0,1.0
295,2016-05-16 00:00:00,4200 W WALTON ST,3.73,6.58,2.39
296,2016-05-17 00:00:00,400 N WABASH AVE,1.0,1.0,1.0
297,2016-05-17 00:00:00,10100 S INDIANA AVE,1.9,1.5,1.4
298,2016-05-17 00:00:00,2200 N SPAULDING AVE,5.7,4.4,4.2
299,2016-05-17 00:00:00,2300 W CULLOM AVE,4.4,4.2,4.0
300,2016-05-17 00:00:00,4800 N NORMANDY AVE,1.0,1.0,1.0
301,2016-05-17 00:00:00,9000 S DR MARTIN LUTHER KING JR DR,15.0,3.1,3.4
302,2016-05-17 00:00:00,6800 S CONSTANCE AVE**,4.2,8.5,9.9
303,2016-05-17 00:00:00,9000 S DR MARTIN LUTHER KING JR DR,15.0,3.4,3.1
304,2016-05-17 00:00:00,8000 S INDIANA AVE,3.8,1.0,1.0
305,2016-05-17 00:00:00,5100 W WAVELAND AVE,1.1,1.0,1.0
306,2016-05-17 00:00:00,2800 W SUMMERDALE AVE,1.7,1.7,1.7
307,2016-05-17 00:00:00,6800 S CONSTANCE AVE,4.2,8.5,9.9
308,2016-05-18 00:00:00,1200 E 53RD ST,1.0,1.0,1.0
